Serial Number of system during year	Basin of origin	Name	Date (DD/MM/YYYY)	Time (UTC)	Latitude (lat.)	Longitude (lon.)	"CI No [or ""T. No""]"	"Estimated Central Pressure (hPa) [or ""E.C.P""]"	Maximum Sustained Surface Wind (kt) 	"Pressure Drop (hPa)[or ""delta P""]"	Grade (text)	Outermost closed isobar (hPa)	Diameter/Size of outermost closed isobar (in degree)
2_1994	BOB		01/05/1994	0300	14.0	90.0	3.5	 986	60.0	18	SCS	1004	6x5
2_1994	BOB		01/05/1994	0600	15.0	90.1	3.5	 986	60.0	18	SCS	1004	6x6
2_1994	BOB		01/05/1994	1200	16.0	90.4	4.5	 972	77.0	32	VSCS	1004	6x6
2_1994	BOB		01/05/1994	1800	17.0	90.5	5.0	 962	90.0	42	ESCS	1004	6x6
2_1994	BOB		02/05/1994	0000	18.5	91.2	5.5	 952	102.0	52	ESCS	1004	7x6
2_1994	BOB		02/05/1994	0300	19.0	91.4	5.5	 952	102.0	54	ESCS	1006	6x6
2_1994	BOB		02/05/1994	0600	19.5	91.5	5.5	 948	102.0	58	ESCS	1006	6x5
2_1994	BOB		02/05/1994	1200	20.6	92.0	6.0	 940	115.0	66	ESCS	1006	6x5
2_1994	BOB		02/05/1994	1800	21.5	92.5	Crossed Bangladesh - Myanmar coast						
3_1994	ARB		05/06/1994	1800	16.0	72.5	1.5	 992	25.0	 4	D	 996	3x3
3_1994	ARB		06/06/1994	0000	16.5	72.0	1.5	 992	25.0	 4	D	 996	3x3
3_1994	ARB		06/06/1994	0300	17.5	71.5	2.0	 991	30.0	 5	DD	 996	3x3
3_1994	ARB		06/06/1994	0600	17.5	71.5	2.0	 990	30.0	 6	DD	 996	3x3
3_1994	ARB		06/06/1994	1200	18.0	70.5	2.5	 988	35.0	 8	CS	 996	4x4
3_1994	ARB		06/06/1994	1800	19.0	69.0	2.5	 988	35.0	 8	CS	 996	4x4
3_1994	ARB		07/06/1994	0000	19.5	67.4	2.5	 988	35.0	 8	CS	 996	5x5
3_1994	ARB		07/06/1994	0300	19.5	66.5	2.5	 988	35.0	 8	CS	 996	5x5
3_1994	ARB		07/06/1994	0600	19.5	65.0	3.0	 986	45.0	10	CS	 996	6x6
3_1994	ARB		07/06/1994	1200	19.5	64.0	3.5	 980	55.0	16	SCS	 996	6x6
3_1994	ARB		07/06/1994	1800	19.5	63.0	3.0	 984	45.0	12	CS	 996	6x6
3_1994	ARB		08/06/1994	0000	19.5	62.0	2.5	 988	35.0	 8	CS	 996	5x5
3_1994	ARB		08/06/1994	0300	19.5	61.5	2.5	 988	35.0	 8	CS	 996	4x4
3_1994	ARB		08/06/1994	0600	19.5	61.5	2.5	 988	35.0	 8	CS	 996	4x4
3_1994	ARB		08/06/1994	1200	19.5	61.0	2.0	 990	30.0	 6	DD	 996	4x4
3_1994	ARB		08/06/1994	1800	19.5	60.5	2.0	 990	30.0	 6	DD	 996	3x3
3_1994	ARB		09/06/1994	0000	19.5	60.0	1.5	 990	25.0	 4	D	 994	3x3
3_1994	ARB		09/06/1994	0300	19.5	59.5	1.5	 990	25.0	 4	D	 994	3x3
3_1994	ARB		09/06/1994	0600	20.0	59.0	1.5	 990	25.0	 4	D	 994	3x2
3_1994	ARB		09/06/1994	1200	WML								
4_1994	BOB		29/10/1994	0300	 9.5	85.0	1.5	1006	25.0	 4	D	1010	4x3
4_1994	BOB		29/10/1994	0600	10.0	84.5	1.5	1004	25.0	 4	D	1008	4x3
4_1994	BOB		29/10/1994	1200	10.5	84.5	2.0	1003	30.0	 5	DD	1008	4x3
4_1994	BOB		29/10/1994	1800	11.0	84.0	2.0	1005	30.0	 5	DD	1010	4x4
4_1994	BOB		30/10/1994	0000	11.5	83.0	2.0	1004	30.0	 6	DD	1010	4x4
4_1994	BOB		30/10/1994	0300	12.0	82.0	2.5	1002	35.0	 8	CS	1010	4x4
4_1994	BOB		30/10/1994	0600	12.2	81.5	3.0	1000	45.0	10	CS	1010	4x4
4_1994	BOB		30/10/1994	1200	12.3	81.0	3.5	 992	55.0	16	SCS	1008	4x4
4_1994	BOB		30/10/1994	1800	12.7	80.5	3.5	 990	60.0	18	SCS	1008	4x4
4_1994	BOB		31/10/1994	0000	13.0	80.3	3.5	 988	60.0	20	SCS	1008	5x4
4_1994	BOB		31/10/1994	0300	13.2	80.0	-	-	55.0	-	SCS	-	-
4_1994	BOB		31/10/1994	0600	13.6	79.5	-	-	35.0	-	CS	-	-
4_1994	BOB		31/10/1994	1200	14.0	78.5	-	-	30.0	-	DD	-	-
4_1994	BOB		31/10/1994	1800	14.5	78.0	WML					    	
5_1994	ARB		15/11/1994	0300	 9.0	65.5	1.5	1004	25.0	 4	D	1008	3x2
5_1994	ARB		15/11/1994	0600	 9.0	65.5	1.5	1006	25.0	 4	D	1010	3x2
5_1994	ARB		15/11/1994	1200	 9.0	65.5	1.5	1006	25.0	 4	D	1010	3x2
5_1994	ARB		15/11/1994	1800	 9.2	65.0	1.5	1006	25.0	 4	D	1010	3x2
5_1994	ARB		16/11/1994	0000	 9.5	64.5	1.5	1006	25.0	 4	D	1010	3x2
5_1994	ARB		16/11/1994	0300	 9.5	64.0	2.0	1004	30.0	 6	DD	1010	3x2
5_1994	ARB		16/11/1994	0600	 9.5	64.0	2.0	1002	30.0	 6	DD	1008	3x3
5_1994	ARB		16/11/1994	1200	 9.5	64.0	2.5	1000	35.0	 8	CS	1008	3x3
5_1994	ARB		16/11/1994	1800	 9.5	64.0	2.5	 998	40.0	 8	CS	1006	4x3
5_1994	ARB		17/11/1994	0000	 9.5	63.5	2.5	 998	40.0	 8	CS	1006	4x3
5_1994	ARB		17/11/1994	0300	 9.0	63.0	2.5	 998	40.0	 8	CS	1006	4x3
5_1994	ARB		17/11/1994	0600	 9.0	62.0	2.5	 998	35.0	 8	CS	1006	4x3
5_1994	ARB		17/11/1994	1200	 8.5	61.0	2.5	 998	35.0	 8	CS	1006	4x3
5_1994	ARB		17/11/1994	1800	 8.0	60.5	2.5	 998	35.0	 8	CS	1006	4x3
5_1994	ARB		18/11/1994	0000	 8.0	60.0	2.5	 998	40.0	 8	CS	1006	4x4
5_1994	ARB		18/11/1994	0300	 8.0	60.0	2.5	 998	40.0	 8	CS	1006	4x4
5_1994	ARB		18/11/1994	0600	 8.0	58.0	2.5	 998	40.0	 8	CS	1006	4x4
5_1994	ARB		18/11/1994	1200	 8.0	57.0	2.5	 998	40.0	 8	CS	1006	4x4
5_1994	ARB		18/11/1994	1800	 8.0	56.5	3.0	 996	45.0	10	CS	1006	5x4
5_1994	ARB		19/11/1994	0000	 8.0	54.5	3.5	 990	55.0	16	SCS	1006	5x4
5_1994	ARB		19/11/1994	0300	 8.0	54.0	4.0	 984	65.0	22	VSCS	1006	5x4
5_1994	ARB		19/11/1994	0600	 8.0	53.0	4.0	 984	65.0	22	VSCS	1006	5x4
5_1994	ARB		19/11/1994	1200	 8.0	51.0	3.5	 990	55.0	16	SCS	1006	5x4
5_1994	ARB		19/11/1994	1800	 8.0	50.5	3.0	 994	45.0	12	CS	1006	4x4
5_1994	ARB		20/11/1994	0000	 8.0	50.0	2.5	 996	35.0	 8	CS	1004	3x3
5_1994	ARB		20/11/1994	0300	 8.0	49.5	over	land	35.0	-	CS	-	-
1_1995	BOB		05/05/1995	2100	11.0	80.5	1.5	 998	 25	 4	D	1002	3x3
1_1995	BOB		06/05/1995	0000	11.5	80.5	1.5	 998	 25	 4	D	1002	3x3
1_1995	BOB		06/05/1995	0300	11.5	80.5	1.5	 998	 25	 4	D	1002	3x3
1_1995	BOB		06/05/1995	0600	11.5	80.5	1.5	 997	 25	 5	D	1002	3x4
1_1995	BOB		06/05/1995	0900	11.5	80.0	2.0	 996	 30	 6	DD	1002	3x4
1_1995	BOB		06/05/1995	1200	12.0	79.5	-	998	25	4	D	Over	land
1_1995	BOB		06/05/1995	1800	12.5	78.5	-	1000	20	3	D	-	-
1_1995	BOB		07/05/1995	0000	WML			    	   			    	
2_1995	BOB		08/05/1995	0900	14.5	81.5	1.5	 998	 25	 4	D	1002	3x2
2_1995	BOB		08/05/1995	1200	15.0	81.5	1.5	 998	 25	 4	D	1002	3x3
2_1995	BOB		08/05/1995	1800	15.5	81.5	1.5	 998	 25	 4	D	1002	3x3
2_1995	BOB		09/05/1995	0000	15.5	81.5	1.5	 998	 25	 4	D	1002	3x3
2_1995	BOB		09/05/1995	0300	16.0	82.5	1.5	 998	 25	 4	D	1002	4x3
2_1995	BOB		09/05/1995	0600	16.5	82.5	1.5	 997	 25	 5	D	1002	4x3
2_1995	BOB		09/05/1995	0900	16.5	82.5	2.0	 996	 30	 6	DD	1002	4x3
2_1995	BOB		09/05/1995	1200	16.5	82.5	2.0	 996	 30	 6	DD	1002	4x4
2_1995	BOB		09/05/1995	1800	17.5	82.5	-	996	30	5	DD	Over	land
2_1995	BOB		10/05/1995	0000	18.0	82.5	-	998	 25	4	D	Over	land
2_1995	BOB		10/05/1995	0300	18.5	82.5	-	998	 25	4	D	Over	land
2_1995	BOB		10/05/1995	0600	19.0	82.5	-	1000	 25	3	D	Over	land
2_1995	BOB		10/05/1995	0900	19.0	83.5	-	1000	 25	3	D	Over	land
2_1995	BOB		10/05/1995	1200	WML			    	   			    	
3_1995	BOB		14/05/1995	1800	19.5	86.5	1.5	 998	 25	 4	D	1002	3x3
3_1995	BOB		15/05/1995	0000	20.0	86.8	1.5	 997	 25	 5	D	1002	3x3
3_1995	BOB		15/05/1995	0300	20.5	87.0	2.0	 996	 30	 6	DD	1002	4x3
3_1995	BOB		15/05/1995	0600	21.0	87.3	2.0	 996	 30	 6	DD	1002	4x3
3_1995	BOB		15/05/1995	1200	21.5	87.5	2.0	 996	 30	 6	DD	1002	4x4
3_1995	BOB		15/05/1995	1800	21.5	88.0	2.0	 996	 30	 6	DD	1002	4x4
3_1995	BOB		16/05/1995	0000	22.0	88.5	2.0	 996	 30	 6	DD	1002	4x4
3_1995	BOB		16/05/1995	0300	22.0	88.5	2.0	 996	 30	 6	DD	1002	4x4
3_1995	BOB		16/05/1995	0600	22.5	89.5	-	996	 30	5	DD	Over	land
3_1995	BOB		16/05/1995	1200	23.0	89.5	-	996	 30	5	DD	Over	land
3_1995	BOB		16/05/1995	1800	23.7	90.5	-	996	 30	5	DD	Over	land
3_1995	BOB		17/05/1995	0000	24.0	91.0	-	996	 30	5	DD	Over	land
3_1995	BOB		17/05/1995	0300	24.5	91.5	-	996	 30	5	DD	Over	land
3_1995	BOB		17/05/1995	0600	25.0	92.0	-	998	 25	4	D	Over	land
3_1995	BOB		17/05/1995	1200	25.5	92.5	-	998	 25	4	D	Over	land
3_1995	BOB		17/05/1995	1800	26.0	93.0	-	998	 25	3	D	Over	land
3_1995	BOB		18/05/1995	0000	26.0	93.0		1000	20	3	D	Over	land
3_1995	BOB		18/05/1995	0300	WML			    	   			    	
4_1995	BOB		16/09/1995	0300	19.0	90.0	1.5	 998	 25	 4	D	1002	3x3
4_1995	BOB		16/09/1995	0600	19.5	89.5	1.5	 998	 25	 4	D	1002	3x3
4_1995	BOB		16/09/1995	1200	20.0	89.0	1.5	 998	 25	 4	D	1002	3x3
4_1995	BOB		16/09/1995	1800	21.0	88.0	1.5	 998	 25	 4	D	1002	4x3
4_1995	BOB		17/09/1995	0000	21.0	87.5	1.5	 998	 25	 4	D	1002	4x3
4_1995	BOB		17/09/1995	0300	21.8	86.8	-	998	 25	4	D		
4_1995	BOB		17/09/1995	0600	22.0	86.5	-	1000	 25	3	D		
4_1995	BOB		17/09/1995	1200	23.4	85.3	-	1000	 25	3	D		
4_1995	BOB		17/09/1995	1800	WML			    	   			    	
5_1995	BOB		26/09/1995	0300	21.5	87.5	1.5	1000	 25	 4	D	1004	4x3
5_1995	BOB		26/09/1995	0600	21.8	87.0	-	1002	20	3	D		
5_1995	BOB		26/09/1995	1200	22.0	86.5	-	1002	20	3	D		
5_1995	BOB		26/09/1995	1800	22.5	86.0	-	1002	20	3	D		
5_1995	BOB		27/09/1995	0000	23.0	86.0	-	1002	20	3	D		
5_1995	BOB		27/09/1995	0300	23.0	86.0	-	1002	20	3	D		
5_1995	BOB		27/09/1995	0600	23.5	86.5	-	1002	20	3	D		
5_1995	BOB		27/09/1995	1200	24.0	87.0	-	1002	20	3	D		
5_1995	BOB		27/09/1995	1800	24.0	87.0	-	1002	20	3	D		
5_1995	BOB		28/09/1995	0000	24.0	87.0	-	1002	20	3	D		
5_1995	BOB		28/09/1995	0300	24.0	87.0	-	1002	20	3	D		
5_1995	BOB		28/09/1995	0600	WML			    	   			    	
6_1995	ARB		12/10/1995	1200	16.5	70.0	1.5	1008	 25	 2	D	1010	3x2
6_1995	ARB		12/10/1995	1800	16.7	69.5	1.5	1007	 25	 3	D	1010	3x3
6_1995	ARB		13/10/1995	0000	17.0	69.0	1.5	1006	 25	 4	D	1010	4x3
6_1995	ARB		13/10/1995	0300	17.0	69.0	1.5	1006	 25	 4	D	1010	4x3
6_1995	ARB		13/10/1995	0600	17.0	69.0	1.5	1006	 25	 4	D	1010	4x3
6_1995	ARB		13/10/1995	1200	17.0	68.5	2.0	1004	 30	 6	DD	1010	4x3
6_1995	ARB		13/10/1995	1800	17.3	68.0	2.0	1004	 30	 6	DD	1010	4x4
6_1995	ARB		14/10/1995	0000	17.5	67.5	2.5	1000	 35	 8	CS	1008	4x4
6_1995	ARB		14/10/1995	0300	17.5	67.5	2.5	1000	 35	 8	CS	1008	4x4
6_1995	ARB		14/10/1995	0600	18.0	67.0	2.5	1000	 35	 8	CS	1008	4x4
6_1995	ARB		14/10/1995	1200	18.0	67.0	3.0	 998	 45	10	CS	1008	4x4
6_1995	ARB		14/10/1995	1800	18.0	67.0	3.0	 996	 45	12	CS	1008	4x4
6_1995	ARB		15/10/1995	0000	18.0	67.0	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		15/10/1995	0300	18.0	67.0	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		15/10/1995	0600	18.0	67.0	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		15/10/1995	1200	18.5	66.0	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		15/10/1995	1800	18.5	66.0	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		16/10/1995	0000	19.0	66.0	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		16/10/1995	0300	19.0	65.5	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		16/10/1995	0600	19.0	65.5	2.5	1000	 35	 8	CS	1008	4x3
6_1995	ARB		16/10/1995	1200	19.5	65.0	2.0	1002	 30	 6	DD	1008	3x3
6_1995	ARB		16/10/1995	1800	19.5	65.0	2.0	1002	 30	 6	DD	1008	3x3
6_1995	ARB		17/10/1995	0000	19.5	65.0	2.0	1002	 30	 6	DD	1008	3x3
6_1995	ARB		17/10/1995	0300	19.5	64.5	1.5	1004	 25	 4	D	1008	3x3
6_1995	ARB		17/10/1995	0600	19.5	64.0	1.5	1004	 25	 4	D	1008	3x2
6_1995	ARB		17/10/1995	1200	19.5	63.5	1.5	1004	 25	 4	D	1008	3x2
6_1995	ARB		17/10/1995	1800	WML			    	   			    	
7_1995	BOB		07/11/1995	0300	11.0	91.5	1.5	1000	 25	 4	D	1004	3x3
7_1995	BOB		07/11/1995	0600	11.5	91.0	1.5	1000	 25	 4	D	1004	3x3
7_1995	BOB		07/11/1995	1200	12.5	89.5	2.0	 996	 30	 6	DD	1004	4x3
7_1995	BOB		07/11/1995	1800	13.0	89.0	2.0	 996	 30	 6	DD	1004	4x4
7_1995	BOB		08/11/1995	0000	13.0	88.5	2.5	 996	 35	 8	CS	1004	4x4
7_1995	BOB		08/11/1995	0300	13.5	87.5	3.0	 996	 45	10	CS	1006	4x4
7_1995	BOB		08/11/1995	0600	14.0	86.5	3.0	 996	 45	10	CS	1006	4x4
7_1995	BOB		08/11/1995	1200	15.5	85.5	3.5	 990	 55	16	SCS	1006	4x4
7_1995	BOB		08/11/1995	1800	17.0	85.2	4.0	 984	 65	22	VSCS	1006	5x5
7_1995	BOB		09/11/1995	0000	18.0	85.1	4.0	 984	 65	22	VSCS	1006	5x5
7_1995	BOB		09/11/1995	0300	19.0	85.0	4.5	 978	 77	30	VSCS	1008	4x4
7_1995	BOB		09/11/1995	0600	19.5	85.0	-	993	55	15	SCS	Over 	land
7_1995	BOB		09/11/1995	1200	21.0	85.0	-	998	45	10	CS	Over 	land
7_1995	BOB		09/11/1995	1800	22.5	85.0	-	1000	40	8	CS	Over 	land
7_1995	BOB		10/11/1995	0000	24.0	85.0	-	1002	35	6	CS	Over 	land
7_1995	BOB		10/11/1995	0300	24.5	85.0	-	1003	30	5	DD	Over 	land
7_1995	BOB		10/11/1995	0600	25.5	85.0	-	1004	30	4	DD	Over 	land
7_1995	BOB		10/11/1995	0900	26.5	85.0	-	1005	25	3	D	Over 	land
7_1995	BOB		10/11/1995	1200		WML		    	   			    	
8_1995	BOB		21/11/1995	1200	 6.5	91.0	1.5	1002	 25	 4	D	1006	3x3
8_1995	BOB		21/11/1995	1800	 7.0	90.5	1.5	1002	 25	 4	D	1006	4x3
8_1995	BOB		22/11/1995	0000	 7.5	90.0	1.5	1002	 25	 4	D	1006	4x4
8_1995	BOB		22/11/1995	0300	 7.5	90.0	2.0	1000	 30	 6	DD	1006	4x4
8_1995	BOB		22/11/1995	0600	 8.0	89.0	2.0	1000	 30	 6	DD	1006	5x4
8_1995	BOB		22/11/1995	1200	 8.5	88.5	2.5	 998	 35	 8	CS	1006	5x5
8_1995	BOB		22/11/1995	1800	 9.5	87.5	3.0	 994	 45	12	CS	1006	5x5
8_1995	BOB		23/11/1995	0000	10.0	86.5	3.0	 994	 45	12	CS	1006	5x5
8_1995	BOB		23/11/1995	0300	10.0	86.0	3.5	 990	 55	16	SCS	1006	5x5
8_1995	BOB		23/11/1995	0600	10.5	85.5	3.5	 990	 55	16	SCS	1006	5x5
8_1995	BOB		23/11/1995	1200	11.0	85.0	3.5	 988	 55	18	SCS	1006	5x5
8_1995	BOB		23/11/1995	1800	12.0	85.0	4.0	 984	 65	22	VSCS	1006	5x5
8_1995	BOB		24/11/1995	0000	13.5	85.0	4.5	 976	 77	30	VSCS	1006	5x5
8_1995	BOB		24/11/1995	0300	14.5	85.0	5.0	 964	 90	42	ESCS	1006	5x5
8_1995	BOB		24/11/1995	0600	15.0	85.0	5.0	 960	 90	46	ESCS	1006	5x5
8_1995	BOB		24/11/1995	1200	16.5	86.5	5.5	 956	102	 5.2	ESCS	1008	5x5
8_1995	BOB		24/11/1995	1800	18.0	88.8	5.0	 962	 90	46	ESCS	1008	5x4
8_1995	BOB		25/11/1995	0000	19.0	89.0	4.5	 970	 77	36	VSCS	1004	4x4
8_1995	BOB		25/11/1995	0300	20.0	90.5	4.5	 972	 77	34	VSCS	1006	4x4
8_1995	BOB		25/11/1995	0600	21.0	92.0	4.0	 978	 65	28	SCS	1006	4x4
8_1995	BOB		25/11/1995	0900	21.5	93.5	-	-	-	-	-	-	-
8_1995	BOB		25/11/1995	1200	WML			    	   			    	
1_1996	BOB		07/05/1996	0300	19.0	89.0	1.0	1004	20	3	D		
1_1996	BOB		07/05/1996	0600	19.0	89.0	1.5	1002	 25	4	D		
1_1996	BOB		07/05/1996	1200	20.0	89.5	1.5	1002	 25	4	D		
1_1996	BOB		07/05/1996	1800	20.5	90.5	2.0	1000	 30	5	DD		
1_1996	BOB		08/05/1996	0000	21.5	92.5	2.0	1000	 30	5	DD	    	
1_1996	BOB		08/05/1996	0300	WML								
2_1996	BOB		12/06/1996	1200	11.0	86.0	1.5	 998	 25	3	D	    	
2_1996	BOB		12/06/1996	1800	11.5	85.0	1.5	 998	 25	3	D	    	
2_1996	BOB		13/06/1996	0000	12.0	84.0	1.5	 998	 25	4	D	    	
2_1996	BOB		13/06/1996	0300	12.5	83.0	2.0	 996	 30	5	DD		
2_1996	BOB		13/06/1996	0600	12.7	83.0	2.0	 996	 30	5	DD	    	
2_1996	BOB		13/06/1996	1200	13.0	82.0	2.0	 996	 30	5	DD	    	
2_1996	BOB		13/06/1996	1800	13.5	81.0	2.0	 996	 30	5	DD	    	
2_1996	BOB		14/06/1996	0000	13.5	80.5	2.5	 994	 35	6	CS	    	
2_1996	BOB		14/06/1996	0300	14.0	80.5	2.5	 994	 35	6	CS		
2_1996	BOB		14/06/1996	0600	14.5	80.8	2.5	 994	 35	6	CS	    	
2_1996	BOB		14/06/1996	1200	15.0	81.0	2.5	 994	 35	6	CS	    	
2_1996	BOB		14/06/1996	1800	16.0	82.0	2.5	 994	 35	6	CS	    	
2_1996	BOB		15/06/1996	0000	16.5	82.5	2.5	 994	 35	6	CS	    	
2_1996	BOB		15/06/1996	0300	16.5	82.5	2.5	 994	 35	6	CS		
2_1996	BOB		15/06/1996	0600	16.8	83.0	2.5	 992	 35	7	CS	    	
2_1996	BOB		15/06/1996	1200	17.0	83.5	3.0	 992	 45	10	CS	    	
2_1996	BOB		15/06/1996	1800	17.0	83.5	3.0	 992	 45	10	CS	    	
2_1996	BOB		16/06/1996	0000	17.3	83.5	3.0	 992	 45	10	CS	    	
2_1996	BOB		16/06/1996	0300	17.5	83.5	3.0	 992	 45	10	CS		
2_1996	BOB		16/06/1996			Thwe system crossed Andhra Pradesh coast close to visakhapatnam beyween 0500 & 0600 UTC							
2_1996	BOB		16/06/1996	0600	17.7	83.4		    	   		CS	    	
2_1996	BOB		16/06/1996	1200	WML			    	   			    	
3_1996	ARB		17/06/1996	0900	17.5	69.5	1.5	 990	 25	3	D	    	
3_1996	ARB		17/06/1996	1200	18.0	69.5	1.5	 988	 25	4	D	    	
3_1996	ARB		17/06/1996	1800	18.0	69.5	2.0	 986	 30	5	DD	    	
3_1996	ARB		18/06/1996	0000	18.8	70.3	2.0	 986	 30	5	DD	    	
3_1996	ARB		18/06/1996	0300	19.0	70.5	2.0	 984	 30	6	DD	    	
3_1996	ARB		18/06/1996	0600	19.5	70.5	2.0	 984	 30	6	DD	    	
3_1996	ARB		18/06/1996	0900	19.5	70.5	2.5	 982	 35	8	CS	    	
3_1996	ARB		18/06/1996	1200	20.0	70.5	3.0	 980	 45	10	CS	    	
3_1996	ARB		18/06/1996	1800	20.5	70.5	3.5	 976	 55	15	SCS	    	
3_1996	ARB		19/06/1996	0000	20.8	70.8	3.5	 972	 60	18	SCS	    	
3_1996	ARB		19/06/1996	0300	21.5	71.5	-	-	45	10	CS	    	
3_1996	ARB		19/06/1996	0600	22.0	71.5	-	-	40	8	CS	    	
3_1996	ARB		19/06/1996	1200	22.5	71.5	-	-	35	7	CS	    	
3_1996	ARB		19/06/1996	1800	23.0	71.5	-	-	30	6	DD	    	
3_1996	ARB		20/06/1996	0000	23.5	71.5	-	-	25	4	D	    	
3_1996	ARB		20/06/1996	0300	24.2	71.5	-	-	25	4	D	    	
3_1996	ARB		20/06/1996	0600	24.5	71.5	-	-	20	3	D	    	
3_1996	ARB		20/06/1996	1200	WML			    	   			    	
4_1996	LAND		26/07/1996	0300	24.0	84.0	-	-	25	3	D	LAND	
4_1996	LAND		26/07/1996	1200	24.5	81.5	-	-	25	3	D	    	
4_1996	LAND		27/07/1996	0300	24.5	79.5	-	-	25	3	D	    	
4_1996	LAND		27/07/1996	1200	24.5	77.5	-	-	25	3	D	    	
4_1996	LAND		28/07/1996	0300	24.5	76.5	-	-	25	3	D	    	
4_1996	LAND		28/07/1996	1200	WML			    	   			    	
5_1996	BOB		01/10/1996	0300	15.0	82.0	1.5	1002	 25	3	D	    	
5_1996	BOB		01/10/1996	0600	15.0	81.5	1.5	1002	 25	3	D	    	
5_1996	BOB		01/10/1996	1200	15.0	80.5	1.5	1000	 25	3	D	    	
5_1996	BOB		01/10/1996	1800	15.0	80.0	1.5	1000	 25	3	D	    	
5_1996	BOB		02/10/1996	0000	15.5	79.5	-	-	-	3	D	land	
5_1996	BOB		02/10/1996	0300	15.5	79.0	-	-	-	3	D	    	
5_1996	BOB		02/10/1996	0600	16.0	78.5	-	-	-	3	D	    	
5_1996	BOB		02/10/1996	1200	WML			    	   			    	
6_1996	ARB		22/10/1996	0900	14.0	69.0	1.5	1000	 25	3	D		
6_1996	ARB		22/10/1996	1200	14.5	69.5	1.5	1000	 25	3	D		
6_1996	ARB		22/10/1996	1800	14.5	69.5	2.0	1000	 30	4	DD		
6_1996	ARB		23/10/1996	0000	15.0	70.0	2.0	1000	 30	5	DD	    	
6_1996	ARB		23/10/1996	0300	15.0	70.0	2.0	1000	 30	5	DD		
6_1996	ARB		23/10/1996	0600	15.5	70.5	2.0	1000	 30	6	DD	    	
6_1996	ARB		23/10/1996	0900	15.5	70.5	2.5	 998	 35	8	CS		
6_1996	ARB		23/10/1996	1200	16.0	70.5	3.0	 998	 45	10	CS	    	
6_1996	ARB		23/10/1996	1800	16.5	70.5	3.5	 996	 55	15	SCS	    	
6_1996	ARB		24/10/1996	0000	17.8	70.5	3.5	 996	 55	16	SCS	    	
6_1996	ARB		24/10/1996	0300	18.0	70.5	3.5	 994	 60	18	SCS		
6_1996	ARB		24/10/1996	0600	18.0	70.5	3.5	 994	 60	18	SCS	    	
6_1996	ARB		24/10/1996	1200	19.0	70.0	3.5	 994	 55	16	SCS	    	
6_1996	ARB		24/10/1996	1800	19.0	70.0	3.5	 994	 55	14	SCS	    	
6_1996	ARB		25/10/1996	0000	19.5	70.0	3.0	 996	 45	10	CS	    	
6_1996	ARB		25/10/1996	0300	20.0	70.0	2.5	 998	 35	8	CS		
6_1996	ARB		25/10/1996	0600	20.0	70.0	2.0	1000	 30	4	DD	    	
6_1996	ARB		25/10/1996	1200	20.0	70.0	1.5	1002	 25	3	D	    	
6_1996	ARB		26/10/1996	0000	20.0	70.0	1.5	1002	 25	3	D	    	
6_1996	ARB		26/10/1996	0300	20.0	70.0	1.5	1002	 25	3	D		
6_1996	ARB		26/10/1996	0600	20.0	70.0	1.5	1002	 25	3	D	    	
6_1996	ARB		26/10/1996	1200	20.0	70.0	1.5	1002	 25	3	D	    	
6_1996	ARB		26/10/1996	1800	20.0	70.0	1.5	1002	 25	3	D	    	
6_1996	ARB		27/10/1996	0000	20.0	70.0	1.5	1002	 25	3	D	    	
6_1996	ARB		27/10/1996	0300	19.5	70.0	1.5	1002	 25	3	D		
6_1996	ARB		27/10/1996	0600	19.5	70.0	1.5	1002	 25	3	D	    	
6_1996	ARB		27/10/1996	0900	19.0	70.0	1.5	1002	 25	3	D		
6_1996	ARB		27/10/1996	1200	18.5	69.5	1.5	1002	 25	3	D	    	
6_1996	ARB		27/10/1996	1800	WML			    	   		D	    	
7_1996	BOB		27/10/1996	0300	15.0	86.0	1.5	1000	 25	3	D	    	
7_1996	BOB		27/10/1996	0600	15.5	85.5	1.5	1000	 25	3	D	    	
7_1996	BOB		27/10/1996	1200	16.0	85.5	1.5	1000	 25	3	D	    	
7_1996	BOB		27/10/1996	1800	17.0	86.0	2.0	 998	 30	4	DD	    	
7_1996	BOB		28/10/1996	0000	18.0	87.0	2.0	 998	 30	4	DD	    	
7_1996	BOB		28/10/1996	0300	19.0	87.5	2.0	 998	 30	4	DD	    	
7_1996	BOB		28/10/1996	0600	20.0	88.0	2.0	 998	 30	4	DD	    	
7_1996	BOB		28/10/1996	1200	21.5	89.0	2.0	 998	 30	4	DD	    	
7_1996	BOB		28/10/1996	1800	22.0	89.5	2.0	 998	 30	4	DD	    	
7_1996	BOB		28/10/1996		CROSSED WEST BENGAL-BANGLADESH BORDER AROUND MID-NIGHT								
7_1996	BOB		29/10/1996	0000	23.5	90.0		    	   		D Over	land	
7_1996	BOB		29/10/1996	0300	WML			    	   			    	
8_1996	BOB		04/11/1996	1500	16.0	88.0	1.5	1002	 25	3	D	    	
